Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Série C,2023,02-05-2023,Volta Redonda,0,1,Pouso Alegre,VV,0,3,2
Série C,2023,02-05-2023,Manaus,2,1,Náutico,VC,3,0,3
Série C,2023,03-05-2023,Paysandu,2,1,Aparecidense,VC,3,0,4
Série C,2023,03-05-2023,América-RN,1,2,Ypiranga-RS,VV,0,3,5
Série C,2023,03-05-2023,Brusque,1,0,Amazonas,VC,3,0,6
Série C,2023,04-05-2023,São Bernardo,3,1,Remo,VC,3,0,7
Série C,2023,04-05-2023,CSA,0,1,Confiança,VV,0,3,8
Série C,2023,04-05-2023,Botafogo-PB,2,1,Operário-PR,VC,3,0,9
Série C,2023,04-05-2023,Altos,0,0,Figueirense,E,1,1,10
Série C,2023,06-05-2023,Amazonas,2,0,América-RN,VC,3,0,11
Série C,2023,06-05-2023,Floresta,2,1,Volta Redonda,VC,3,0,12
Série C,2023,06-05-2023,Pouso Alegre,1,0,Brusque,VC,3,0,13
Série C,2023,06-05-2023,Náutico,2,1,São José-RS,VC,3,0,14
Série C,2023,07-05-2023,Ypiranga-RS,1,1,CSA,E,1,1,15
Série C,2023,07-05-2023,Remo,1,2,Botafogo-PB,VV,0,3,16
Série C,2023,07-05-2023,Operário-PR,2,0,Manaus,VC,3,0,17
Série C,2023,07-05-2023,Aparecidense,1,2,São Bernardo,VV,0,3,18
Série C,2023,08-05-2023,Confiança,2,1,Altos,VC,3,0,19
Série C,2023,08-05-2023,Figueirense,2,0,Paysandu,VC,3,0,20
Série C,2023,11-05-2023,Ypiranga-RS,5,0,Paysandu,VC,3,0,21
Série C,2023,13-05-2023,América-RN,2,2,Botafogo-PB,E,1,1,22
Série C,2023,13-05-2023,Aparecidense,3,0,Náutico,VC,3,0,23
Série C,2023,13-05-2023,Confiança,1,0,Figueirense,VC,3,0,24
Série C,2023,13-05-2023,Pouso Alegre,0,2,São Bernardo,VV,0,3,25
Série C,2023,14-05-2023,Remo,1,2,Amazonas,VV,0,3,26
Série C,2023,14-05-2023,Floresta,0,2,CSA,VV,0,3,27
Série C,2023,14-05-2023,Manaus,1,0,Altos,VC,3,0,28
Série C,2023,14-05-2023,Brusque,3,2,Volta Redonda,VC,3,0,29
Série C,2023,15-05-2023,Operário-PR,1,1,São José-RS,E,1,1,30
