Data,Casa,Resultado,Fora
"Ter, 21/02/2023 19:00
            - GRUPO 19 |  Jogo: 19 
              - 
          1 alteração",Marcílio Dias - SC,1 x 0,Chapecoense - SC
"Qua, 22/02/2023 16:00
            - GRUPO 26 |  Jogo: 26 
              - 
          1 alteração",Falcon Futebol Clube - SE,1 x 3,Volta Redonda - RJ
"Qua, 22/02/2023 17:00
            - GRUPO 40 |  Jogo: 40 
              - 
          1 alteração",Nova Mutum Ec - MT,4 x 2,Londrina - PR
"Qua, 22/02/2023 19:00
            - GRUPO 37 |  Jogo: 37 
              - 
          1 alteração",São Raimundo - RR,4 x 3,Cuiabá Saf - MT
"Qua, 22/02/2023 19:00
            - GRUPO 36 |  Jogo: 36",Caucaia - CE,0 x 0,Tombense - MG
"Qua, 22/02/2023 20:00
            - GRUPO 16 |  Jogo: 16 
              - 
          1 alteração",Marilia - SP,0 x 3,Brusque - SC
"Qua, 22/02/2023 21:00
            - GRUPO 30 |  Jogo: 30",Sao Francisco - AC,1 x 1,Ypiranga - RS
"Qui, 23/02/2023 19:00
            - GRUPO 23 |  Jogo: 23",Humaitá - AC,0 x 3,Coritiba - PR
"Qui, 23/02/2023 19:00
            - GRUPO 11 |  Jogo: 11 
              - 
          1 alteração",São Luiz - RS,1 x 0,Juventude - RS
"Qui, 23/02/2023 20:00
            - GRUPO 33 |  Jogo: 33 
              - 
          2 alterações",Ceilândia - DF,0 x 1,Santos - SP
"Qui, 23/02/2023 21:30
            - GRUPO 31 |  Jogo: 31 
              - 
          1 alteração",Trem - AP,0 x 4,Vasco da Gama S.a.f. - RJ
"Qui, 23/02/2023 21:30
            - GRUPO 12 |  Jogo: 12 
              - 
          1 alteração",Vitoria F. C. - ES,0 x 1,Remo - PA
"Ter, 28/02/2023 15:30
            - GRUPO 2 |  Jogo: 2 
              - 
          1 alteração",Resende - RJ,1 x 2,Ferroviário - CE
"Ter, 28/02/2023 19:30
            - GRUPO 18 |  Jogo: 18 
              - 
          1 alteração",Ec Democrata - MG,1 x 1,Santa Cruz - PE
"Ter, 28/02/2023 19:30
            - GRUPO 17 |  Jogo: 17 
              - 
          1 alteração",Tocantinópolis - TO,1 x 1,America Fc S.a.f. - MG
"Ter, 28/02/2023 20:00
            - GRUPO 27 |  Jogo: 27 
              - 
          1 alteração",Real Noroeste Capixaba F. C. - ES,1 x 1,Vila Nova - GO
"Ter, 28/02/2023 21:30
            - GRUPO 3 |  Jogo: 3",Fluminense - PI,0 x 4,Ponte Preta - SP
"Qua, 01/03/2023 15:30
            - GRUPO 15 |  Jogo: 15",Tuna Luso - PA,0 x 1,Csa - AL
"Qua, 01/03/2023 15:30
            - GRUPO 39 |  Jogo: 39 
              - 
          1 alteração",Nova Iguaçu - RJ,2 x 0,Vitória - BA
"Qua, 01/03/2023 19:00
            - GRUPO 13 |  Jogo: 13 
              - 
          1 alteração",Asa - AL,1 x 1,Goiás - GO
"Qua, 01/03/2023 19:00
            - GRUPO 32 |  Jogo: 32 
              - 
          1 alteração",Tuntum - MA,0 x 5,Abc - RN
"Qua, 01/03/2023 19:00
            - GRUPO 29 |  Jogo: 29",Bahia de Feira - BA,1 x 1,Red Bull Bragantino - SP
"Qua, 01/03/2023 19:00
            - GRUPO 25 |  Jogo: 25",Atlético - BA,0 x 0,Atlético - GO
"Qua, 01/03/2023 19:00
            - GRUPO 4 |  Jogo: 4",Cordino - MA,0 x 2,Brasil - RS
"Qua, 01/03/2023 20:00
            - GRUPO 38 |  Jogo: 38 
              - 
          1 alteração",Parnahyba - PI,0 x 0,Botafogo - SP
"Qua, 01/03/2023 20:00
            - GRUPO 28 |  Jogo: 28",Sao Bernardo Fc - SP,0 x 1,Náutico - PE
"Qua, 01/03/2023 20:00
            - GRUPO 1 |  Jogo: 1 
              - 
          1 alteração",Campinense - PB,0 x 2,Grêmio - RS
"Qua, 01/03/2023 20:00
            - GRUPO 22 |  Jogo: 22",Camboriu Futebol Clube - SC,1 x 0,Manaus - AM
"Qua, 01/03/2023 20:00
            - GRUPO 10 |  Jogo: 10 
              - 
          1 alteração",Athletic Club - MG,1 x 1,Brasiliense - DF
"Qua, 01/03/2023 20:00
            - GRUPO 7 |  Jogo: 7 
              - 
          1 alteração",União - MT,0 x 1,Crb - AL
"Qua, 01/03/2023 21:00
            - GRUPO 8 |  Jogo: 8 
              - 
          1 alteração",Operário - MS,1 x 0,Operário - PR
"Qua, 01/03/2023 21:00
            - GRUPO 6 |  Jogo: 6",Princesa do Solimões - AM,1 x 1,Ituano - SP
"Qua, 01/03/2023 21:30
            - GRUPO 35 |  Jogo: 35 
              - 
          2 alterações",Retrô - PE,3 x 2,Avaí - SC
"Qua, 01/03/2023 21:30
            - GRUPO 5 |  Jogo: 5",Caldense - MG,0 x 3,Ceará - CE
"Qua, 01/03/2023 21:30
            - GRUPO 21 |  Jogo: 21 
              - 
          1 alteração",Jacuipense - BA,1 x 4,Bahia - BA
"Qui, 02/03/2023 16:00
            - GRUPO 14 |  Jogo: 14 
              - 
          1 alteração",Aguia de Maraba - PA,2 x 1,Botafogo - PB
"Qui, 02/03/2023 16:30
            - GRUPO 24 |  Jogo: 24 
              - 
          1 alteração",Real Ariquemes - RO,0 x 3,Criciúma - SC
"Qui, 02/03/2023 19:15
            - GRUPO 34 |  Jogo: 34",Iguatu - CE,1 x 0,América - RN
"Qui, 02/03/2023 20:00
            - GRUPO 20 |  Jogo: 20",Maringá Futebol Clube S.a.f. - PR,2 x 1,Sampaio Corrêa - MA
"Qui, 02/03/2023 20:00
            - GRUPO 9 |  Jogo: 9",Sergipe - SE,1 x 1,Botafogo - RJ
"Ter, 07/03/2023 20:00
            - GRUPO 42 |  Jogo: 41",Brasil - RS,2 x 0,Ponte Preta - SP
"Qua, 08/03/2023 19:00
            - GRUPO 51 |  Jogo: 42",Camboriu Futebol Clube - SC,0 x 1,Bahia - BA
"Qua, 08/03/2023 20:00
            - GRUPO 46 |  Jogo: 43",Remo - PA,2 x 1,São Luiz - RS
"Qua, 08/03/2023 21:30
            - GRUPO 58 |  Jogo: 44",Tombense - MG,1 x 0,Retrô - PE
"Qui, 09/03/2023 19:00
            - GRUPO 54 |  Jogo: 45",Náutico - PE,2 x 1,Vila Nova - GO
"Qui, 09/03/2023 20:00
            - GRUPO 59 |  Jogo: 46",Botafogo - SP,3 x 1,São Raimundo - RR
