Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Série B,2023,14-04-2023,Guarani,4,1,Avaí,VC,3,0,1
Série B,2023,14-04-2023,Ituano,2,0,Ceará,VC,3,0,2
Série B,2023,15-04-2023,Vila Nova-GO,2,1,Novorizontino,VC,3,0,3
Série B,2023,15-04-2023,Mirassol,1,0,Chapecoense,VC,3,0,4
Série B,2023,15-04-2023,Sampaio Corrêa,3,3,Atlético-GO,E,1,1,5
Série B,2023,15-04-2023,Juventude,1,2,Botafogo-SP,VV,0,3,6
Série B,2023,16-04-2023,Criciúma,2,0,Tombense,VC,3,0,7
Série B,2023,16-04-2023,Vitória,3,0,Ponte Preta,VC,3,0,8
Série B,2023,16-04-2023,Londrina,1,0,ABC,VC,3,0,9
Série B,2023,21-04-2023,Ponte Preta,1,2,Criciúma,VV,0,3,10
Série B,2023,21-04-2023,Botafogo-SP,1,0,Sampaio Corrêa,VC,3,0,11
Série B,2023,21-04-2023,Atlético-GO,2,1,CRB,VC,3,0,12
Série B,2023,22-04-2023,Tombense,3,0,Ituano,VC,3,0,13
Série B,2023,22-04-2023,Ceará,0,3,Guarani,VV,0,3,14
Série B,2023,22-04-2023,Avaí,1,0,Mirassol,VC,3,0,15
Série B,2023,22-04-2023,Novorizontino,1,0,Juventude,VC,3,0,16
Série B,2023,23-04-2023,Chapecoense,3,0,Londrina,VC,3,0,17
Série B,2023,23-04-2023,ABC,0,3,Vitória,VV,0,3,18
Série B,2023,28-04-2023,Guarani,1,0,Ituano,VC,3,0,19
Série B,2023,28-04-2023,Criciúma,1,0,Avaí,VC,3,0,20
Série B,2023,28-04-2023,Vitória,2,0,Londrina,VC,3,0,21
Série B,2023,29-04-2023,Tombense,1,1,Atlético-GO,E,1,1,22
Série B,2023,29-04-2023,Botafogo-SP,2,0,CRB,VC,3,0,23
Série B,2023,29-04-2023,Sampaio Corrêa,1,3,Mirassol,VV,0,3,24
Série B,2023,29-04-2023,Chapecoense,1,1,Ponte Preta,E,1,1,25
Série B,2023,30-04-2023,Novorizontino,0,0,Sport,E,1,1,26
Série B,2023,30-04-2023,ABC,1,2,Ceará,VV,0,3,27
Série B,2023,30-04-2023,Vila Nova-GO,1,0,Juventude,VC,3,0,28
Série B,2023,01-05-2023,Londrina,1,1,Criciúma,E,1,1,29
Série B,2023,02-05-2023,Ponte Preta,2,0,Botafogo-SP,VC,3,0,30
Série B,2023,02-05-2023,Atlético-GO,2,1,Chapecoense,VC,3,0,31
Série B,2023,02-05-2023,CRB,0,0,Sampaio Corrêa,E,1,1,32
Série B,2023,03-05-2023,Avaí,0,3,Vila Nova-GO,VV,0,3,33
Série B,2023,03-05-2023,Ituano,3,0,ABC,VC,3,0,34
