Data,Mandante,,Visitante,Vitória doMandante,Empate,Vitória doVisitante
02/05/2023,São José RS,0x0,Floresta,62.7 %,21.7 %,15.6 %
02/05/2023,Volta Redonda,0x1,Pouso Alegre,55.5 %,23.2 %,21.3 %
02/05/2023,Manaus,2x1,Náutico,24.0 %,28.6 %,47.4 %
03/05/2023,Paysandu,2x1,Aparecidense,46.8 %,30.4 %,22.8 %
03/05/2023,América RN,1x2,Ypiranga RS,52.6 %,23.9 %,23.5 %
03/05/2023,Brusque,1x0,Amazonas,36.7 %,34.6 %,28.7 %
04/05/2023,São Bernardo,3x1,Remo,64.0 %,23.3 %,12.7 %
04/05/2023,CSA,0x1,Confiança,45.5 %,34.3 %,20.2 %
04/05/2023,Botafogo PB,2x1,Operário PR,25.6 %,27.2 %,47.2 %
04/05/2023,Altos,0x0,Figueirense,22.0 %,27.6 %,50.4 %
06/05/2023,Náutico,2x1,São José RS,49.2 %,25.1 %,25.7 %
06/05/2023,Pouso Alegre,1x0,Brusque,37.2 %,47.6 %,15.2 %
06/05/2023,Floresta,2x1,Volta Redonda,29.9 %,24.5 %,45.6 %
06/05/2023,Amazonas,2x0,América RN,52.3 %,26.8 %,20.9 %
07/05/2023,Ypiranga RS,1x1,CSA,51.6 %,26.5 %,21.9 %
07/05/2023,Remo,1x2,Botafogo PB,64.9 %,21.4 %,13.7 %
07/05/2023,Operário PR,2x0,Manaus,61.9 %,24.1 %,14.0 %
07/05/2023,Aparecidense,1x2,São Bernardo,15.4 %,29.7 %,54.9 %
08/05/2023,Confiança,2x1,Altos,79.0 %,20.7 %,0.3 %
08/05/2023,Figueirense,2x0,Paysandu,50.4 %,27.7 %,21.8 %
11/05/2023,Ypiranga RS,5x0,Paysandu,56.6 %,23.6 %,19.8 %
13/05/2023,Pouso Alegre,0x2,São Bernardo,20.2 %,38.2 %,41.6 %
13/05/2023,Confiança,1x0,Figueirense,48.3 %,30.2 %,21.5 %
13/05/2023,Aparecidense,3x0,Náutico,38.1 %,27.3 %,34.6 %
13/05/2023,América RN,2x2,Botafogo PB,56.6 %,26.4 %,17.0 %
14/05/2023,Remo,1x2,Amazonas,34.7 %,26.4 %,38.9 %
14/05/2023,Floresta,0x2,CSA,34.3 %,36.9 %,28.8 %
14/05/2023,Manaus,1x0,Altos,45.8 %,32.4 %,21.9 %
14/05/2023,Brusque,3x2,Volta Redonda,47.5 %,25.1 %,27.4 %
15/05/2023,Operário PR,1x1,São José RS,54.4 %,24.2 %,21.4 %
20/05/2023,CSA,0x0,Brusque,39.6 %,37.3 %,23.1 %
20/05/2023,Botafogo PB,1x1,Pouso Alegre,33.6 %,36.1 %,30.3 %
20/05/2023,Altos,3x2,Ypiranga RS,17.6 %,23.5 %,58.9 %
20/05/2023,Figueirense,2x1,Aparecidense,47.1 %,30.0 %,22.9 %
20/05/2023,São Bernardo,3x1,Confiança,70.0 %,23.8 %,6.2 %
21/05/2023,Paysandu,1x0,Manaus,51.0 %,29.7 %,19.3 %
21/05/2023,Volta Redonda,3x0,América RN,50.7 %,21.5 %,27.8 %
21/05/2023,Amazonas,2x2,Operário PR,56.6 %,25.1 %,18.3 %
22/05/2023,Náutico,3x1,Floresta,58.3 %,25.1 %,16.6 %
22/05/2023,São José RS,2x1,Remo,47.3 %,25.1 %,27.6 %
27/05/2023,Ypiranga RS,2x0,Manaus,74.2 %,18.1 %,7.7 %
27/05/2023,Náutico,0x0,América RN,49.4 %,25.2 %,25.5 %
27/05/2023,Brusque,0x1,São José RS,56.9 %,29.5 %,13.6 %
28/05/2023,Operário PR,1x0,Pouso Alegre,45.9 %,30.5 %,23.6 %
28/05/2023,Volta Redonda,3x0,Paysandu,65.5 %,18.5 %,16.0 %
28/05/2023,CSA,1x0,São Bernardo,18.2 %,29.7 %,52.2 %
28/05/2023,Figueirense,1x2,Botafogo PB,54.5 %,26.5 %,19.0 %
29/05/2023,Aparecidense,1x2,Altos,66.5 %,23.9 %,9.7 %
29/05/2023,Floresta,1x1,Amazonas,20.7 %,28.0 %,51.3 %
30/05/2023,Remo,1x0,Confiança,36.3 %,26.9 %,36.8 %
02/06/2023,América RN,1x0,Operário PR,40.5 %,28.0 %,31.5 %
03/06/2023,Pouso Alegre,0x1,Náutico,47.8 %,30.6 %,21.6 %
03/06/2023,Altos,1x1,CSA,21.0 %,31.8 %,47.2 %
03/06/2023,Manaus,1x0,Volta Redonda,20.9 %,22.3 %,56.8 %
03/06/2023,Brusque,1x1,Remo,56.2 %,27.3 %,16.5 %
04/06/2023,Ypiranga RS,0x1,Aparecidense,63.9 %,20.3 %,15.8 %
04/06/2023,Paysandu,1x1,São José RS,28.8 %,28.2 %,43.0 %
04/06/2023,Confiança,2x3,Amazonas,39.2 %,31.4 %,29.4 %
04/06/2023,Botafogo PB,1x1,Floresta,55.3 %,25.5 %,19.2 %
05/06/2023,São Bernardo,1x0,Figueirense,76.0 %,18.6 %,5.4 %
06/06/2023,Náutico,2x0,Volta Redonda,41.6 %,21.6 %,36.8 %
07/06/2023,São José RS,4x1,Altos,65.0 %,23.2 %,11.8 %
07/06/2023,Operário PR,0x0,Paysandu,64.3 %,22.2 %,13.5 %
