Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
CBR,2023.0,21-02-2023,Marcílio Dias,1.0,0.0,Chapecoense,VC,3,0,1.0
CBR,2023.0,22-02-2023,Falcon,1.0,3.0,Volta Redonda,VV,0,3,2.0
CBR,2023.0,22-02-2023,Mutum,4.0,2.0,Londrina,VC,3,0,3.0
CBR,2023.0,22-02-2023,São Raimundo,4.0,3.0,Cuiabá,VC,3,0,4.0
CBR,2023.0,22-02-2023,Caucaia,0.0,0.0,Tombense,E,1,1,5.0
CBR,2023.0,22-02-2023,Marília,0.0,3.0,Brusque,VV,0,3,6.0
CBR,2023.0,22-02-2023,São Francisco,1.0,1.0,Ypiranga-RS,E,1,1,7.0
CBR,2023.0,23-02-2023,Humaitá,0.0,3.0,Coritiba,VV,0,3,8.0
CBR,2023.0,23-02-2023,São Luiz,1.0,0.0,Juventude,VC,3,0,9.0
CBR,2023.0,23-02-2023,Ceilândia,0.0,1.0,Santos,VV,0,3,10.0
CBR,2023.0,23-02-2023,Trem,0.0,4.0,Vasco da Gama .,VV,0,3,11.0
CBR,2023.0,23-02-2023,Vitória-ES,0.0,1.0,Remo,VV,0,3,12.0
CBR,2023.0,28-02-2023,Fluminense-PI,0.0,4.0,Ponte Preta,VV,0,3,13.0
CBR,2023.0,28-02-2023,Real Noroeste,1.0,1.0,Vila Nova-GO,E,1,1,14.0
CBR,2023.0,28-02-2023,Resende,1.0,2.0,Ferroviário,VV,0,3,15.0
CBR,2023.0,28-02-2023,Democrata-MG,1.0,1.0,Santa Cruz,E,1,1,16.0
CBR,2023.0,28-02-2023,Tocantinópolis,1.0,1.0,América-MG,E,1,1,17.0
CBR,2023.0,01-03-2023,Camboriú,1.0,0.0,Manaus,VC,3,0,18.0
CBR,2023.0,01-03-2023,Jacuipense,1.0,4.0,Bahia,VV,0,3,19.0
CBR,2023.0,01-03-2023,Caldense,0.0,3.0,Ceará,VV,0,3,20.0
CBR,2023.0,01-03-2023,Retrô,3.0,2.0,Avaí,VC,3,0,21.0
CBR,2023.0,01-03-2023,Princesa do Solimões,1.0,1.0,Ituano,E,1,1,22.0
CBR,2023.0,01-03-2023,Operário-MS,1.0,0.0,Operário-PR,VC,3,0,23.0
CBR,2023.0,01-03-2023,União-MT,0.0,1.0,CRB,VV,0,3,24.0
CBR,2023.0,01-03-2023,Campinense,0.0,2.0,Grêmio,VV,0,3,25.0
CBR,2023.0,01-03-2023,Atlhetic-MG,1.0,1.0,Brasiliense,E,1,1,26.0
CBR,2023.0,01-03-2023,Parnahyba,0.0,0.0,Botafogo-SP,E,1,1,27.0
CBR,2023.0,01-03-2023,Cordino,0.0,2.0,Brasil-RS,VV,0,3,28.0
CBR,2023.0,01-03-2023,Atlético-BA,0.0,0.0,Atlético-GO,E,1,1,29.0
CBR,2023.0,01-03-2023,Bahia de Feira,1.0,1.0,Red Bull Bragantino,E,1,1,30.0
CBR,2023.0,01-03-2023,Tuntum,0.0,5.0,ABC,VV,0,3,31.0
CBR,2023.0,01-03-2023,ASA,1.0,1.0,Goiás,E,1,1,32.0
CBR,2023.0,01-03-2023,Nova Iguaçu,2.0,0.0,Vitória,VC,3,0,33.0
CBR,2023.0,01-03-2023,Tuna Luso,0.0,1.0,CSA,VV,0,3,34.0
CBR,2023.0,01-03-2023,São Bernardo,0.0,1.0,Náutico,VV,0,3,35.0
CBR,2023.0,02-03-2023,Águia de Marabá,2.0,1.0,Botafogo-PB,VC,3,0,36.0
CBR,2023.0,02-03-2023,Real Ariquemes,0.0,3.0,Criciúma,VV,0,3,37.0
CBR,2023.0,02-03-2023,Iguatu,1.0,0.0,América-RN,VC,3,0,38.0
CBR,2023.0,02-03-2023,Maringá  .,2.0,1.0,Sampaio Corrêa,VC,3,0,39.0
CBR,2023.0,02-03-2023,Sergipe,1.0,1.0,Botafogo,E,1,1,40.0
CBR,2023.0,07-03-2023,Brasil-RS,2.0,0.0,Ponte Preta,VC,3,0,41.0
CBR,2023.0,08-03-2023,Tombense,1.0,0.0,Retrô,VC,3,0,42.0
CBR,2023.0,08-03-2023,Camboriú,0.0,1.0,Bahia,VV,0,3,43.0
